Title,ADDRESS_MD5Digest,ADDRESS_strcmp,ADDRESS_OSGetTime,ADDRESS_OSDisableInterrupts,ADDRESS_OSRestoreInterrupts,ADDRESS_DCFlushRange,ADDRESS_ICInvalidateRange,ADDRESS_IOS_Open,ADDRESS_IOS_Close,ADDRESS_IOS_Read,ADDRESS_IOS_Ioctlv,ADDRESS_NASWII_AC_URL,ADDRESS_NASWII_AC_URL_POINTER,ADDRESS_NASWII_PR_URL,ADDRESS_NASWII_PR_URL_POINTER,ADDRESS_AVAILABLE_URL,ADDRESS_DWCi_Auth_SendRequest,ADDRESS_DWCi_Auth_HandleResponse,ADDRESS_DWC_AUTH_ADD_MACADDR,ADDRESS_DWC_AUTH_ADD_CSNUM,ADDRESS_AUTH_HANDLERESP_HOOK,ADDRESS_AUTH_HANDLERESP_CONTINUE,ADDRESS_AUTH_HANDLERESP_ERROR,ADDRESS_AUTH_HANDLERESP_OUT,AUTH_HANDLERESP_UNPATCH,LOAD_AUTH_REQ_INST_01,LOAD_AUTH_REQ_INST_02,LOAD_AUTH_REQ_INST_01_P,ADDRESS_NHTTPCreateRequest,ADDRESS_NHTTPSendRequestAsync,ADDRESS_NHTTPDestroyResponse,ADDRESS_NHTTPStartup,ADDRESS_DWC_ERROR,ADDRESS_DWCi_SetError,ADDRESS_DWCi_HandleGPError,ADDRESS_HBM_ALLOCATOR,ADDRESS_BMST_RSO_LOCATOR,ADDRESS_GH_ALLOC_FUNCTION,ADDRESS_PES_ALLOC_FUNCTION,ADDRESS_SSBB_GET_HEAP_FUNCTION,ADDRESS_SKIP_DNS_CACHE,ADDRESS_SKIP_DNS_CACHE_CONTINUE,ADDRESS_gethostbyname,ADDRESS_SOiAlloc,ADDRESS_SOiFree,ADDRESS_SOSocket,ADDRESS_SOClose,ADDRESS_SOBind,ADDRESS_SOConnect,ADDRESS_SOGetSockName,ADDRESS_SORecvFrom,ADDRESS_SORecv,ADDRESS_SOSendTo,ADDRESS_SOSend,ADDRESS_SOFcntl,ADDRESS_SOShutdown,ADDRESS_SOPoll,ADDRESS_SOInetAtoN,ADDRESS_SOGetAddrInfo,ADDRESS_SOFreeAddrInfo,ADDRESS_SOSetSockOpt,ADDRESS_SOGetInterfaceOpt,ADDRESS_DWC_Printf,ADDRESS_OSReport,ADDRESS_GHIPARSEURL_HTTPS_PATCH,ADDRESS_NHTTP_HTTPS_PORT_PATCH,ADDRESS_NHTTPi_SocSSLConnect,ADDRESS_PATCH_SECURITY_GT2MATCHCOMMAND,ADDRESS_PATCH_SECURITY_QR2MATCHCOMMAND,ADDRESS_gpiAppendStringToBuffer,ADDRESS_gpiAppendIntToBuffer,ADDRESS_PATCH_GPISENDLOGIN,ADDRESS_PATCH_GPIADDLOCALINFO,ADDRESS_DWC_Base64Encode,ADDRESS_DWCi_GetUserData,ADDRESS_DWCi_GetGPBuddyAdditionalMsg,ADDRESS_RealMode,ADDRESS_OSInitSystemCall_Tail,ADDRESS_GTI2_BUFFER,ADDRESS_SBCM_RETURN,ADDRESS_OSYieldThread,ADDRESS_sendto,ADDRESS_stpLoginCnt,ADDRESS_stpFriendCnt,ADDRESS_AUTH_RESULT,ADDRESS_NATNEG_SET_COMPLETED_DELAY,ADDRESS_GT2_PORT_PATCH,GT2_PORT_PATCH_REG,ADDRESS_gt2AddressToString,ADDRESS_gt2CreateSocket,ADDRESS_SCGetProductSN,ADDRESS_ESP_FD,ADDRESS_gpiValueForKey,ADDRESS_PATCH_gpiCheckForError,TYPE_gpiCheckForError,ADDRESS_atoi,ADDRESS_gpiCallErrorCallback,ADDRESS_PATCH_DWCi_HandleGPError
SIIPD00,0x8048B1B0,0x8031F024,0x802E9740,0x802E5390,0x802E53D0,0x802E0650,0x802E0740,0x803349F0,0x80334BE0,0x80334D90,0x80335720,0x8060A9A8,0x8060A9F8,0x8060AA28,0x8060AA78,0x8060B610,0x80485380,0x80485ED0,0x80485B20,0x80485D34,0x80486050,0x80486068,0x804867C4,0x80486818,0x80A1000C,"lwz %r5, 0x380(%r26)","addi %r5, %r5, 0x59C4","lis %r5, 0x806F; lwz %r5, 0x40E0(%r5)",0x80461AD4,0x80461CE0,0x80461D7C,0x8046173C,0x806F3D60,0x80463EC0,0x80467FB0,0x900AC6FC,0x00000000,0x00000000,0x00000000,0x00000000,0x8046929C,0x80469490,0x8048BEC0,0x80457250,0x80457338,0x804579A4,0x80457B68,0x80457C0C,0x80457CF4,0x80457DDC,0x80457ED8,0x80457F00,0x80457F24,0x80457F4C,0x80457F70,0x804580A0,0x80458154,0x804582B0,0x80458AC4,0x80458DA8,0x80458E0C,0x80458F10,0x80464440,0x802E1530,0x804A8E84,0x8045CB68,0x8045D850,0x8047CA34,0x00000000,0x80492200,0x80492260,0x804939E8,0x80495520,0x80463A30,0x80467EB0,0x00000000,0x802E63E0,0x802E7F60,0x806F4438,0x804A40DC,0x00000000,0x8048BC00,0x806F3410,0x806F33F8,0x806F3D60,0x00000000,0x80469F68,30,0x804A2A10,0x8049E5C0,0x8033C5A0,0x80720868,0x8049CB90,0x8049CA70,0x00000001,0x803211FC,0x80492B00,0x8046A40C
RWEED00,0x8008A5F8,0x801327CC,0x8020D840,0x80208E4C,0x80208E74,0x80204C1C,0x80204CD4,0x800D5F74,0x800D6154,0x800D62FC,0x800D6C5C,0x80259008,0x80259058,0x80259088,0x802590D8,0x80250CE0,0x800EFBEC,0x800F0730,0x800F0388,0x800F059C,0x800F08AC,0x800F08C4,0x800F1004,0x800F1058,0x80A1000C,"lwz %r5, -0x6A84(%r13)","addi %r5, %r5, 0x59E0","lwz %r5, -0x6A84(%r13)",0x8010F1C4,0x8010F3D0,0x8010F46C,0x8010EF2C,0x803FBBB0,0x80187E5C,0x80141258,0x00000000,0x00000000,0x800AE800,0x00000000,0x00000000,0x8013FF70,0x80140164,0x8008ACCC,0x80139834,0x8013991C,0x80139F88,0x8013A05C,0x8013A2F4,0x8013A3DC,0x8013A4C4,0x8013A5C0,0x8013A5E8,0x8013A60C,0x8013A634,0x8013A658,0x8013A788,0x8013A83C,0x8013A998,0x8013B194,0x8013B478,0x8013B5E0,0x8013B6E4,0x8018825C,0x80205AFC,0x00000000,0x80108F2C,0x80109B38,0x00000000,0x8014EA0C,0x8008E5A4,0x8008E600,0x8008FBBC,0x80091520,0x80187A0C,0x8013ECDC,0x8014702C,0x8020A8A0,0x8020C190,0x803EA180,0x8009E950,0x8020C9C4,0x8008AA88,0x804DE438,0x804DE428,0x803FBBB0,0x800A7C28,0x80140EEC,31,0x8009CC8C,0x80098AF4,0x801AF47C,0x00000000,0x80097190,0x80097154,0x00000000,0x80134A98,0x8008ED6C,0x801413C0
R4EPD00,0x804D3850,0x803838F8,0x8035801C,0x80353E4C,0x80353E74,0x8034F478,0x8034F55C,0x8052A3C4,0x8052A6C0,0x8052A90C,0x8052B26C,0x80611FF0,0x80612040,0x80612070,0x806120C0,0x80612858,0x804D0798,0x804D12DC,0x804D0F34,0x804D1148,0x804D145C,0x804D1474,0x804D1BD0,0x804D1C24,0x80A1000C,"lwz %r5, -0x0DC8(%r13)","addi %r5, %r5, 0x59C4","lwz %r5, -0x0DC8(%r13)",0x8049E914,0x8049EB20,0x8049EBBC,0x8049E57C,0x807B0620,0x804F7FC8,0x804FDE30,0x80607FFC,0x00000000,0x00000000,0x00000000,0x00000000,0x804FC894,0x804FCA88,0x804D4060,0x804A167C,0x804A1764,0x804A1DD0,0x804A1F94,0x804A2038,0x804A2120,0x804A2208,0x804A2304,0x804A232C,0x804A2350,0x804A2378,0x804A239C,0x804A24CC,0x804A2580,0x804A26DC,0x804A2EF0,0x804A31D4,0x804A3238,0x804A333C,0x804F83E8,0x803500E4,0x00000000,0x804999A8,0x8049A690,0x805148A8,0x80514A30,0x804DA044,0x804DA0A0,0x804DB7E0,0x804DD1F0,0x804F7B8C,0x804FB580,0x00000000,0x80354DB0,0x80356A04,0x807B0DC0,0x804EB8B4,0x00000000,0x804D3E1C,0x807C2DC8,0x807C2DB0,0x807B0620,0x804F1894,0x804FDB28,31,0x804E9DF4,0x804E5D5C,0x8039BEB0,0x807C0930,0x804E43F8,0x804E42E0,0x00000000,0x80385B14,0x804DA8F4,0x804FDF88
RFSJD00,0x80337120,0x802CB328,0x802A2A88,0x8029E730,0x8029E758,0x8029A214,0x8029A2F8,0x802DDD80,0x802DDF60,0x802DE108,0x802DEA68,0x804C14F0,0x804C1540,0x804C1570,0x804C15C0,0x804BB338,0x80370570,0x803710B4,0x80370D0C,0x80370F20,0x80371230,0x80371248,0x80371988,0x803719DC,0x80A1000C,"lwz %r5, -0x481C(%r13)","addi %r5, %r5, 0x59E0","lwz %r5, -0x481C(%r13)",0x8037ABA0,0x8037AE04,0x8037AEA0,0x8037A8D8,0x805A57F0,0x8035AFE8,0x8035FB9C,0x804C3EBC,0x00000000,0x00000000,0x00000000,0x00000000,0x8035EE18,0x8035F00C,0x80337930,0x80388FF4,0x803890DC,0x80389748,0x8038990C,0x803899B0,0x80389A98,0x80389B80,0x80389C7C,0x80389CA4,0x80389CC8,0x80389CF0,0x80389D14,0x80389E44,0x80389EF8,0x8038A054,0x8038A868,0x8038AB4C,0x8038ABB0,0x8038ACB4,0x8035B3E0,0x8029B08C,0x00000000,0x803759E4,0x80376790,0x00000000,0x8036C42C,0x8033D590,0x8033D5EC,0x8033ED24,0x80340734,0x8035AB80,0x8035DBCC,0x80364BAC,0x8029F79C,0x802A14A0,0x805A3440,0x8034E8EC,0x802A1D00,0x803376EC,0x805FBCF8,0x805FBCE0,0x805A57F0,0x803548CC,0x8035F830,31,0x8034CE2C,0x80348D8C,0x802E4DE0,0x805FAF58,0x80347428,0x803473EC,0x00000000,0x802CD544,0x8033DE38,0x8035FD04
RGSJD00,0x8037E698,0x801F0A2C,0x801C2388,0x801BE558,0x801BE580,0x801BA59C,0x801BA680,0x80203D74,0x80203F54,0x802040FC,0x80204A5C,0x804D7260,0x804D72B0,0x804D72E0,0x804D7330,0x804D7CA0,0x80379A50,0x8037A594,0x8037A1EC,0x8037A400,0x8037A710,0x8037A728,0x8037AE64,0x8037AEB8,0x80A1000C,"lwz %r5, -0x57FC(%r13)","addi %r5, %r5, 0x59DC","lwz %r5, -0x57FC(%r13)",0x80345CB0,0x80345EBC,0x80345F58,0x80345A18,0x806C1138,0x80366764,0x8036B1E4,0x806D2F04,0x00000000,0x00000000,0x00000000,0x00000000,0x80366860,0x80366A58,0x8037ED6C,0x8034B60C,0x8034B6F4,0x8034BD60,0x8034BE34,0x8034C0CC,0x8034C1B4,0x8034C29C,0x8034C398,0x8034C3C0,0x8034C3E4,0x8034C40C,0x8034C430,0x8034C560,0x8034C614,0x8034C770,0x8034CF6C,0x8034D250,0x8034D3B8,0x8034D4BC,0x80366D7C,0x801EED10,0x8039C308,0x8033FA18,0x80340624,0x00000000,0x80375118,0x8038614C,0x803861A8,0x80387764,0x803890C8,0x80366314,0x8036995C,0x8036F5B8,0x801BF4F4,0x801C0CE8,0x806C1900,0x803961B8,0x00000000,0x8037EB28,0x806D4B70,0x806D4B68,0x806C1138,0x803A29B4,0x8036AE78,31,0x803946F0,0x8039069C,0x80209C90,0x00000000,0x8038ED38,0x8038ECFC,0x00000000,0x801F2CEC,0x80386914,0x8036B34C
RCJPD00,0x803BA4CC,0x8017AA10,0x80146344,0x80141FF8,0x80142020,0x8013D708,0x8013D7C0,0x8018DDB4,0x8018E0B0,0x8018E2FC,0x8018EC5C,0x805A5928,0x805A5978,0x805A59A8,0x805A59F8,0x805A6498,0x803B5318,0x803B5E5C,0x803B5AB4,0x803B5CC8,0x803B5FDC,0x803B5FF4,0x803B6750,0x803B67A4,0x80A1000C,"lwz %r5, 0x01A0(%r13)","addi %r5, %r5, 0x59C4","lwz %r5, 0x01A0(%r13)",0x8035CE20,0x8035D02C,0x8035D0C8,0x8035CA88,0x80746FE0,0x8038B854,0x803949F0,0x80583DFC,0x00000000,0x00000000,0x00000000,0x00000000,0x80393004,0x803931FC,0x803BAD10,0x8036B6F4,0x8036B7DC,0x8036BE48,0x8036C00C,0x8036C0B0,0x8036C198,0x8036C280,0x8036C37C,0x8036C3A4,0x8036C3C8,0x8036C3F0,0x8036C414,0x8036C544,0x8036C5F8,0x8036C754,0x8036CF68,0x8036D24C,0x8036D2B0,0x8036D3B4,0x8038BC74,0x8013E348,0x803D7628,0x80357EB4,0x80358B9C,0x803ABF54,0x803AC0DC,0x803C110C,0x803C1168,0x803C28A8,0x803C42B8,0x8038B418,0x80391CEC,0x00000000,0x80142F5C,0x80144BB0,0x807477C0,0x803D2B98,0x80145410,0x803BAA98,0x80752390,0x80752378,0x80746FE0,0x803E12E4,0x803946E8,31,0x803D0EDC,0x803CCE24,0x8019458C,0x8074AA68,0x803CB4C0,0x803CB3A8,0x00000000,0x8017CE6C,0x803C19BC,0x80394B48
R3RPD00,0x803DEB70,0x8045C6C8,0x8037B140,0x80376F70,0x80376FB0,0x80372630,0x803726F0,0x8040A3C0,0x8040A5B0,0x8040A760,0x8040B0F0,0x804D7108,0x804D7158,0x804D7188,0x804D71D8,0x804DC9E8,0x803B4590,0x803B50D0,0x803B4D28,0x803B4F3C,0x803B5250,0x803B5268,0x803B59C4,0x803B5A18,0x80A1000C,"lwz %r5, -0x1F50(%r13)","addi %r5, %r5, 0x59C4","lwz %r5, -0x1F50(%r13)",0x803AF240,0x803AF44C,0x803AF4E8,0x803AEEA8,0x80716C20,0x803B8A70,0x803BF0F0,0x804BBB0C,0x00000000,0x00000000,0x00000000,0x00000000,0x803BDA00,0x803BDBF0,0x803DF430,0x8033D768,0x8033D850,0x8033DEBC,0x8033E080,0x8033E124,0x8033E20C,0x8033E2F4,0x8033E3F0,0x8033E418,0x8033E43C,0x8033E464,0x8033E488,0x8033E5B8,0x8033E66C,0x8033E7C8,0x8033EFDC,0x8033F2C0,0x8033F324,0x8033F428,0x803B8EF0,0x80008040,0x803FC4C8,0x803AA2D4,0x803AAFBC,0x803D6740,0x803D68C8,0x803E5A60,0x803E5AC0,0x803E721C,0x803E8C50,0x803B85F0,0x803BC6C0,0x00000000,0x80377F80,0x80379AC0,0x80717C80,0x803F78F8,0x00000000,0x803DF190,0x8075DF68,0x8075DF58,0x80716C20,0x80403480,0x803BEDA0,31,0x803F5DC0,0x803F19B0,0x803A7870,0x8075BAE8,0x803EFF80,0x803EFE5C,0x00000000,0x8045E858,0x803E6350,0x803BF238
SBAJD00,0x8051ADA0,0x8032A0AC,0x803FDBE0,0x803F8E20,0x803F8E60,0x803F41F0,0x803F42E0,0x803E2AE0,0x803E2CD0,0x803E2E80,0x803E3810,0x80713070,0x807130C0,0x807130F0,0x80713140,0x80713B98,0x805152C0,0x80515E00,0x80515A58,0x80515C6C,0x80515F80,0x80515F98,0x805166F4,0x80516748,0x80A1000C,"lwz %r5, -0x2890(%r13)","addi %r5, %r5, 0x59C4","lwz %r5, -0x2890(%r13)",0x80463334,0x8046364C,0x80463738,0x80462F78,0x8081A5E0,0x80549420,0x80550710,0x806F1A3C,0x00000000,0x00000000,0x00000000,0x00000000,0x8054F2C0,0x8054F4B0,0x8051B660,0x804662AC,0x80466394,0x80466A00,0x80466BC4,0x80466C68,0x80466D50,0x80466E38,0x80466F34,0x80466F5C,0x80466F80,0x80466FA8,0x80466FCC,0x804670FC,0x804671B0,0x8046730C,0x80467B20,0x80467E04,0x80467E68,0x80467F6C,0x805498A0,0x803F5130,0x805386F8,0x8045DFF4,0x8045EDAC,0x80567FC0,0x80568148,0x80521C90,0x80521CF0,0x8052344C,0x80524E80,0x80548FC0,0x8054DF30,0x00000000,0x803F9E30,0x803FBD20,0x8081AD20,0x80533B28,0x00000000,0x8051B3C0,0x808277C0,0x808277A8,0x8081A5E0,0x80542A50,0x805503C0,31,0x80531FF0,0x8052DBE0,0x804034D0,0x808247A0,0x8052C1B0,0x8052C08C,0x00000000,0x8032CF80,0x80522580,0x80550858
R4QJD00,0x804A45BC,0x80385544,0x803BD0D8,0x803B9394,0x803B93BC,0x803B51FC,0x803B52E0,0x803A8FB4,0x803A9194,0x803A933C,0x803A9C9C,0x80565630,0x80565680,0x00000000,0x00000000,0x80565F30,0x8049FCE8,0x804A0618,0x804A02A4,0x804A0498,0x804A074C,0x804A0750,0x804A0DB8,0x804A0E20,0x8061000C,"lwz %r5, -0x049C(%r13)","addi %r5, %r5, 0x55D0","lwz %r5, -0x049C(%r13)",0x8041E7C8,0x8041E9D4,0x8041EA70,0x8041E530,0x806CA5E0,0x80489610,0x8048E920,0x806E057C,0x00000000,0x00000000,0x00000000,0x00000000,0x8048970C,0x80489904,0x804A4C88,0x804151AC,0x80415294,0x80415900,0x804159D4,0x80415C6C,0x80415D54,0x80415E3C,0x80415F38,0x80415F60,0x80415F84,0x80415FAC,0x80415FD0,0x80416100,0x804161B4,0x80416310,0x80416B0C,0x80416DF0,0x80416F58,0x8041705C,0x80489BC4,0x803838D8,0x804C21C0,0x80418530,0x8041913C,0x00000000,0x8049AAB8,0x804AC050,0x804AC0AC,0x804AD668,0x804AEFCC,0x804891CC,0x8048C990,0x80493FF4,0x803BA330,0x803BBAF0,0x806CAD60,0x804BC074,0x803BC350,0x804A4A44,0x806E3318,0x806E3310,0x806CA5E0,0x804C8800,0x8048E5B4,31,0x804BA5B4,0x804B65A0,0x8040CD18,0x00000000,0x804B4C3C,0x804B4C00,0x00000000,0x80387804,0x804AC818,0x8048EA88
RZIPD00,0x803A8190,0x80350C6C,0x802CFB84,0x802CB9E0,0x802CBA08,0x802C73DC,0x802C74C0,0x802F6AA8,0x802F6C88,0x802F6E30,0x802F7790,0x804B2C90,0x804B2CE0,0x804B2D10,0x804B2D60,0x804B34A8,0x803A5040,0x803A5B80,0x803A57D8,0x803A59EC,0x803A5D00,0x803A5D18,0x803A6474,0x803A64C8,0x80A1000C,"lwz %r5, -0x2948(%r13)","addi %r5, %r5, 0x59C4","lwz %r5, -0x2948(%r13)",0x803446C4,0x803448D0,0x8034496C,0x8034432C,0x80604620,0x8037F760,0x80385A30,0x804AA3BC,0x00000000,0x00000000,0x00000000,0x00000000,0x80384010,0x80384200,0x803A8A10,0x80347BC4,0x80347CAC,0x80348318,0x803484DC,0x80348580,0x80348668,0x80348750,0x8034884C,0x80348874,0x80348898,0x803488C0,0x803488E4,0x80348A14,0x80348AC8,0x80348C24,0x80349428,0x8034970C,0x80349770,0x80349874,0x8037FBE0,0x802C8224,0x00000000,0x8033F75C,0x80340444,0x8039D670,0x8039D7F8,0x803AEBD0,0x803AEC30,0x803B037C,0x803B1DB0,0x8037F300,0x80382CD0,0x00000000,0x802CC944,0x802CE420,0x80604D20,0x803C09D8,0x802CEC50,0x803A87B0,0x8060BE38,0x8060BE28,0x80604620,0x803C7150,0x803856E0,31,0x803BEEA0,0x803BAB00,0x802F4D14,0x8060A3D0,0x803B90D0,0x803B8FAC,0x00000000,0x80352D4C,0x803AF4B0,0x80385B78
